trade_date,open
2020-02-04,16.76
2020-02-03,17.05
2020-01-23,19.31
2020-01-22,19.4
2020-01-21,19.86
2020-01-20,19.77
2020-01-17,19.97
2020-01-16,19.97
2020-01-15,20.18
2020-01-14,20.47
2020-01-13,20.08
2020-01-10,20.6
2020-01-09,20.1
2020-01-08,20.16
2020-01-07,20.45
2020-01-06,19.97
2020-01-03,20.0
2020-01-02,20.82
2019-12-31,20.5
2019-12-30,19.38
2019-12-27,19.62
2019-12-26,19.22
2019-12-25,19.14
2019-12-24,18.95
2019-12-23,19.4
2019-12-20,19.5
2019-12-19,19.66
2019-12-18,19.59
2019-12-17,19.11
2019-12-16,18.6
2019-12-13,18.1
2019-12-12,18.0
2019-12-11,17.97
2019-12-10,17.9
2019-12-09,17.94
2019-12-06,17.84
2019-12-05,17.69
2019-12-04,17.4
2019-12-03,17.28
2019-12-02,17.25
2019-11-29,17.0
2019-11-28,17.0
2019-11-27,17.0
2019-11-26,17.16
2019-11-25,16.95
2019-11-22,17.03
2019-11-21,16.94
2019-11-20,17.19
2019-11-19,17.15
2019-11-18,17.09
2019-11-15,17.35
2019-11-14,17.32
2019-11-13,17.53
2019-11-12,17.59
2019-11-11,17.61
2019-11-08,18.25
2019-11-07,17.74
2019-11-06,17.86
2019-11-05,17.8
2019-11-04,17.7
2019-11-01,17.33
2019-10-31,17.42
2019-10-30,17.44
2019-10-29,17.81
2019-10-28,17.76
2019-10-25,17.59
2019-10-24,17.78
2019-10-23,17.65
2019-10-22,17.3
2019-10-21,17.2
2019-10-18,18.45
2019-10-17,18.4
2019-10-16,18.69
2019-10-15,19.02
2019-10-14,19.25
2019-10-11,18.71
2019-10-10,18.59
2019-10-09,18.79
2019-10-08,19.0
2019-09-30,19.28
2019-09-27,19.16
2019-09-26,19.23
2019-09-25,19.15
2019-09-24,19.36
2019-09-23,19.5
2019-09-20,19.78
2019-09-19,19.66
2019-09-18,19.87
2019-09-17,20.3
2019-09-16,20.92
2019-09-12,20.7
2019-09-11,20.9
2019-09-10,20.63
2019-09-09,20.94
2019-09-06,20.58
2019-09-05,20.31
2019-09-04,19.38
2019-09-03,19.3
2019-09-02,18.92
2019-08-30,19.25
2019-08-29,19.33
2019-08-28,19.5
2019-08-27,19.44
2019-08-26,19.33
2019-08-23,19.83
2019-08-22,20.01
2019-08-21,19.94
2019-08-20,20.22
